Arc_ID	cont_area	LDD	country
1	57.7193061	0	304
2	47.5335462	0	304
3	95.0670924	0	304
4	95.0670924	0	304
5	84.8813325	0	304
6	95.0670924	0	304
7	57.7193061	0	304
8	47.5335462	0	304
9	339.52533	0	304
10	339.52533	0	304
11	339.52533	0	304
12	339.52533	0	304
13	339.52533	0	304
14	339.52533	0	304
15	339.52533	0	304
16	339.52533	0	304
17	339.52533	0	304
18	339.52533	0	304
19	339.52533	0	304
20	62.31460823	0	124
21	21.99339114	0	124
22	80.64243418	0	124
23	91.63912975	0	124
24	51.31791266	0	124
25	366.556519	0	304
26	366.556519	0	304
27	29.32452152	0	304
28	29.32452152	0	304
29	62.31460823	0	304
30	91.63912975	0	304
31	120.9636513	0	304
32	172.2815639	0	304
33	183.2782595	0	304
34	113.6325209	0	304
35	102.6358253	0	304
36	40.32121709	0	304
37	62.31460823	0	304
38	62.31460823	0	304
39	120.9636513	0	304
40	120.9636513	0	304
41	153.953738	0	304
42	183.2782595	0	304
43	161.2848684	0	304
44	120.9636513	0	304
45	80.64243418	0	304
46	62.31460823	0	304
47	10.99669557	0	304
48	366.556519	1	304
49	366.556519	1	304
50	366.556519	1	304
51	366.556519	1	304
52	366.556519	1	304
53	366.556519	1	304
54	366.556519	1	304
55	366.556519	1	304
56	366.556519	1	304
57	366.556519	1	304
58	366.556519	1	304
59	366.556519	1	304
60	366.556519	1	304
61	366.556519	0	304
62	366.556519	0	304
63	366.556519	0	304
64	366.556519	0	304
65	366.556519	0	304
66	366.556519	0	304
67	366.556519	0	304
68	366.556519	0	304
69	366.556519	0	304
70	393.557587	0	124
71	31.48460696	0	124
72	66.90478979	0	124
73	31.48460696	0	124
74	122.002852	0	124
75	98.38939675	0	124
76	196.7787935	0	124
77	240.0701281	0	124
78	240.0701281	0	124
79	208.5855211	0	124
80	271.554735	0	124
81	251.8768557	0	124
82	263.6835833	0	124
83	381.7508594	0	124
84	393.557587	0	124
85	393.557587	0	124
86	393.557587	0	124
87	326.6527972	0	124
88	338.4595248	0	124
89	362.07298	0	124
90	393.557587	16	124
91	362.07298	16	124
92	381.7508594	0	124
93	369.9441318	16	124
94	326.6527972	16	124
95	326.6527972	1	124
96	338.4595248	1	124
97	369.9441318	1	124
98	326.6527972	0	124
99	326.6527972	0	124
100	362.07298	0	124
101	295.1681903	0	124
102	283.3614626	0	124
