,arcid,fracarea,glwdunit,outflowcell
4157,35138.0,0.22011799922172515,225.0,35139
4158,35139.0,0.7798820007782749,225.0,35139
4159,35167.0,1.0,1527.0,35167
4160,35171.0,1.0,2012.0,35171
4161,35172.0,1.0,2013.0,35173
4162,35189.0,1.0,1656.0,35189
4163,35190.0,0.24353384122873648,1439.0,35190
4164,35204.0,1.0,1543.0,35204
4165,35205.0,0.9999999999999999,2194.0,35205
4166,35207.0,0.23514391393966544,658.0,34875
4167,35208.0,0.1580387486687188,658.0,34875
4168,35224.0,0.11478148124984879,205.0,35553
4169,35225.0,0.11114449858955999,205.0,35553
4170,35258.0,0.9145020087029603,1146.0,35588
4171,35259.0,1.0,1904.0,35259
4172,35260.0,0.013749815982085765,470.0,34927
4173,35269.0,0.06608404835445311,2014.0,35269
4174,35278.0,0.004808390133172558,2015.0,35279
4175,35279.0,0.005080991148066078,2015.0,35279
4176,35285.0,0.003821250568692936,1760.0,34953
4177,35286.0,0.8732693949636028,1760.0,34953
4178,35301.0,0.00030483171158818425,0.0,0
4179,35305.0,0.00016604366286124587,0.0,0
4180,35306.0,1.1463487070854029e-05,0.0,0
4181,35310.0,1.0,1812.0,35310
4182,35342.0,1.0,906.0,35342
4183,35343.0,1.0,656.0,35343
4184,35344.0,0.3632158941927898,289.0,35014
4185,35345.0,0.46303799181332694,197.0,35345
4186,35346.0,0.5369620081866731,197.0,35345
4187,35356.0,1.0,2017.0,35356
4188,35359.0,0.2759546623838854,543.0,35688
4189,35360.0,0.4936455230155124,543.0,35688
4190,35361.0,0.0326244650106278,543.0,35688
4191,35365.0,0.2672163694327454,340.0,35366
4192,35366.0,0.715875698243526,340.0,35366
4193,35367.0,0.016907932323728565,340.0,35366
4194,35373.0,0.2819341099300408,29.0,35373
4195,35374.0,0.13556282934758812,29.0,35373
4196,35378.0,2.009072037906016e-05,0.0,0
4197,35379.0,7.458480228495224e-06,0.0,0
4198,35380.0,0.0009517124233089056,0.0,0
4199,35381.0,0.0228871322512946,0.0,0
4200,35409.0,1.0,1502.0,35079
4201,35452.0,0.6864409812102467,233.0,35452
4202,35453.0,0.20542197584057942,233.0,35452
4203,35461.0,0.5178145054034957,1325.0,35461
4204,35475.0,2.185259962992434e-05,0.0,0
4205,35476.0,0.0004727909870911002,0.0,0
4206,35485.0,1.0,1476.0,35485
4207,35521.0,0.6921471558399681,1439.0,35190
4208,35522.0,0.06431900293129546,1439.0,35190
4209,35533.0,0.9891116587467458,2192.0,35533
4210,35536.0,0.9576055973597115,1574.0,35537
4211,35552.0,0.014231540417019626,205.0,35553
4212,35553.0,0.3092100351680845,205.0,35553
4213,35554.0,0.32619545370139325,205.0,35553
4214,35555.0,0.03053219466871438,205.0,35553
4215,35561.0,0.1397130733264652,1383.0,35899
4216,35584.0,0.00014364458902022307,0.0,0
4217,35588.0,0.08549799129703976,1146.0,35588
4218,35594.0,1.0,1757.0,35594
4219,35595.0,0.189982069564247,1758.0,35595
4220,35598.0,0.046357717579121466,2014.0,35269
4221,35599.0,0.8875582340664254,2014.0,35269
4222,35600.0,0.02838720466220484,483.0,35939
4223,35603.0,1.0,1759.0,35603
4224,35605.0,0.7314294437668734,2018.0,35606
4225,35606.0,0.26857055623312653,2018.0,35606
4226,35607.0,0.04529513300816075,1903.0,35946
4227,35616.0,0.9991706554246242,1836.0,35615
4228,35636.0,1.0,1480.0,35636
4229,35673.0,1.0,1786.0,35673
4230,35682.0,1.0,2019.0,35682
4231,35683.0,3.004500669617273e-05,0.0,0
4232,35684.0,1.0,1779.0,35684
4233,35687.0,1.0,2021.0,35687
4234,35688.0,0.1062034665106913,543.0,35688
4235,35689.0,0.09157188307928305,543.0,35688
4236,35702.0,0.1295797257898633,29.0,35373
4237,35703.0,0.260194413296094,29.0,35373
4238,35707.0,0.0002582473361482155,0.0,0
4239,35708.0,1.0543406443169537e-06,0.0,0
4240,35710.0,0.00012314624824929734,0.0,0
4241,35711.0,0.0018871573478481916,0.0,0
4242,35712.0,0.013218125914338328,0.0,0
4243,35713.0,0.023882715443707837,0.0,0
4244,35714.0,6.024134874024453e-05,0.0,0
4245,35728.0,1.0,700.0,35396
4246,35782.0,0.7482142581304333,384.0,35782
4247,35783.0,0.16276421959792403,384.0,35782
4248,35784.0,0.07005864119210115,233.0,35452
4249,35785.0,0.03807840175707273,233.0,35452
4250,35793.0,0.47668321018082804,1325.0,35461
4251,35794.0,0.005502284415676199,1325.0,35461
4252,35796.0,0.4398132333527684,473.0,35796
4253,35799.0,0.9190526724495147,843.0,35799
4254,35800.0,0.08094732755048525,843.0,35799
4255,35805.0,0.1039208164039371,36.0,36160
4256,35806.0,0.1726961157827121,36.0,36160
4257,35808.0,7.931157450691293e-06,0.0,0
4258,35855.0,0.0044746864900691305,1657.0,35856
4259,35856.0,0.26198562746350296,1657.0,35856
4260,35865.0,1.0,1659.0,35865
4261,35872.0,0.010888341253254238,2192.0,35533
4262,35875.0,0.042394402640288494,1574.0,35537
4263,35876.0,1.0,1538.0,35876
4264,35886.0,0.012710821656475859,206.0,36236
4265,35891.0,0.008606303447723854,205.0,35553
4266,35892.0,0.08529849275765586,205.0,35553
4267,35899.0,0.41392441429823035,1383.0,35899
4268,35900.0,0.4463625123753044,1383.0,35899
4269,35912.0,1.0,1753.0,35912
4270,35918.0,1.0,1756.0,35918
4271,35921.0,1.0,1436.0,35581
4272,35923.0,0.7200794249053951,999.0,35923
4273,35924.0,0.007075833056151468,667.0,35925
4274,35925.0,0.9381617773436601,667.0,35925
4275,35927.0,0.32235880545540896,630.0,35928
4276,35928.0,0.677641194544591,630.0,35928
4277,35929.0,0.1383373140016853,2026.0,36280
4278,35930.0,0.03389480764851378,2022.0,35930
4279,35934.0,0.810017930435753,1758.0,35595
4280,35938.0,0.41641234943326444,2023.0,35938
4281,35939.0,0.9716127953377951,483.0,35939
4282,35942.0,0.9932847635718681,1860.0,35942
4283,35943.0,0.006715236428131891,1860.0,35942
4284,35944.0,0.9845418776366328,2027.0,36295
4285,35945.0,1.0,2024.0,35945
4286,35946.0,0.9547048669918392,1903.0,35946
4287,35950.0,0.4354551596734098,2030.0,36301
4288,35951.0,0.06536849776922868,2030.0,36301
4289,35955.0,0.0008293445753757338,1836.0,35615
4290,35957.0,0.23282502719931494,644.0,35958
4291,35958.0,0.6440319667486515,644.0,35958
4292,35959.0,0.8451645250910914,1074.0,36310
4293,35970.0,1.0,1644.0,35970
4294,35990.0,0.0002248834262594134,0.0,0
4295,35996.0,1.0,1647.0,35996
4296,36026.0,0.0005541501443764835,0.0,0
4297,36045.0,0.07155597251559481,1814.0,36046
4298,36046.0,0.9284440274844052,1814.0,36046
4299,36059.0,1.0,1852.0,36059
4300,36062.0,0.0056178720740430845,0.0,0
4301,36063.0,0.01611022366408814,0.0,0
4302,36064.0,0.021321978127656706,0.0,0
4303,36065.0,0.014502973504265892,0.0,0
4304,36066.0,0.008398638723493173,0.0,0
4305,36067.0,0.008338753044824697,0.0,0
4306,36068.0,0.000486556812587055,0.0,0
4307,36136.0,0.08902152227164285,384.0,35782
4308,36150.0,0.5601867666472317,473.0,35796
4309,36151.0,0.9832704066784118,1052.0,36151
4310,36152.0,0.01672959332158822,1052.0,36151
4311,36159.0,0.17629650194579924,36.0,36160
4312,36160.0,0.3946687054492157,36.0,36160
4313,36161.0,0.15241786041833594,36.0,36160
4314,36208.0,0.014030805166815437,1478.0,36208
4315,36209.0,0.03732802501973018,1657.0,35856
4316,36210.0,0.6962116610266978,1657.0,35856
4317,36211.0,0.9885962820117045,2189.0,36211
4318,36236.0,0.28546300419581766,206.0,36236
4319,36237.0,0.665157171808895,206.0,36236
4320,36238.0,0.03648800901191841,206.0,36236
4321,36252.0,0.20509420740449785,1509.0,36252
4322,36253.0,0.7949057925955021,1509.0,36252
4323,36273.0,1.0,2178.0,36273
4324,36274.0,0.2799205750946049,999.0,35923
4325,36275.0,0.47995848262525925,2025.0,36275
4326,36276.0,0.05476238960018822,667.0,35925
4327,36277.0,0.1161767400000195,949.0,36278
4328,36278.0,0.8838232599999805,949.0,36278
4329,36279.0,0.03657440364669805,2026.0,36280
4330,36280.0,0.8250882823516166,2026.0,36280
4331,36281.0,0.9661051923514862,2022.0,35930
4332,36289.0,0.17689462927560243,2023.0,35938
4333,36290.0,0.23685068973869197,2023.0,35938
4334,36292.0,0.992540184131119,2033.0,36615
4335,36293.0,0.9999999999999999,2292.0,36293
4336,36294.0,0.7008953989203718,1397.0,36616
4337,36295.0,0.015458122363367145,2027.0,36295
4338,36297.0,0.2865703869862692,2028.0,36297
4339,36298.0,0.7134296130137306,2028.0,36297
4340,36299.0,1.0,2029.0,36299
4341,36301.0,0.30310116244721663,2030.0,36301
4342,36302.0,0.19607518011014483,2030.0,36301
4343,36308.0,0.7139591078781713,1360.0,36308
4344,36309.0,0.12314300605203353,644.0,35958
4345,36310.0,0.1548354749089085,1074.0,36310
4346,36324.0,3.9464759212475765e-05,0.0,0
4347,36325.0,0.00011628997165916877,0.0,0
4348,36330.0,0.00017485127837293493,0.0,0
4349,36361.0,0.3876004349354765,207.0,36680
4350,36374.0,0.9271944646570491,801.0,36374
4351,36375.0,0.006451322456231109,801.0,36374
4352,36377.0,0.33674764440791843,1650.0,36054
4353,36378.0,0.6632523555920816,1650.0,36054
4354,36410.0,1.0,1446.0,36410
4355,36463.0,0.8720079046163075,780.0,36463
4356,36464.0,0.1279920953836925,780.0,36463
4357,36486.0,0.7104765354382615,1610.0,36486
4358,36488.0,1.0,2031.0,36488
4359,36489.0,0.00010804342784360723,2036.0,36807
4360,36513.0,1.0,1526.0,36512
4361,36517.0,0.3252814245988132,1228.0,36517
4362,36529.0,0.3266239492920681,1478.0,36208
4363,36530.0,0.6593452455411164,1478.0,36208
4364,36532.0,0.011403717988295417,2189.0,36211
4365,36543.0,0.8432340414065327,1883.0,36543
4366,36551.0,1.0,1474.0,36551
4367,36558.0,0.27409663749869845,1186.0,36881
4368,36559.0,0.0001809933268930541,206.0,36236
4369,36575.0,1.0,1752.0,36575
4370,36579.0,0.054621892171960604,1508.0,36579
4371,36584.0,1.0,1403.0,36584
4372,36596.0,0.0016539322377752425,331.0,36920
4373,36597.0,0.5200415173747407,2025.0,36275
4374,36598.0,1.0,2032.0,36598
4375,36603.0,0.8722486565795895,862.0,36602
4376,36604.0,0.009583268736339115,862.0,36602
4377,36611.0,0.07783288008158006,2023.0,35938
4378,36612.0,0.0920094514708613,2023.0,35938
4379,36615.0,0.007459815868880998,2033.0,36615
4380,36616.0,0.2991046010796283,1397.0,36616
4381,36618.0,1.0,1939.0,36618
4382,36619.0,0.7848569653236201,2034.0,36620
4383,36620.0,0.11692501977856903,2034.0,36620
4384,36621.0,1.0,2035.0,36621
4385,36625.0,0.03497199595039967,1923.0,36625
4386,36626.0,0.6419540421866666,1923.0,36625
4387,36629.0,1.0,1929.0,36307
4388,36630.0,0.2860408921218287,1360.0,36308
4389,36635.0,0.5330014562893931,856.0,36635
4390,36679.0,0.5538774208925931,207.0,36680
4391,36680.0,0.05852214417193045,207.0,36680
4392,36692.0,0.065629882265004,801.0,36374
4393,36693.0,0.0007243306217157441,801.0,36374
4394,36698.0,5.16225043880944e-05,0.0,0
4395,36706.0,1.0,1651.0,36706
4396,36725.0,0.0004613336332153419,0.0,0
4397,36783.0,1.0,2287.0,36783
4398,36784.0,1.0,1346.0,36784
4399,36785.0,1.0,459.0,36785
4400,36786.0,0.7676044548118053,548.0,36787
4401,36787.0,0.11893115101609118,548.0,36787
4402,36788.0,0.9538594083100546,551.0,36788
4403,36789.0,0.0461405916899455,551.0,36788
4404,36804.0,0.28952346456173855,1610.0,36486
4405,36807.0,0.9998919565721563,2036.0,36807
4406,36809.0,1.0,1347.0,36809
4407,36817.0,0.7652606982827302,1615.0,36817
4408,36818.0,0.2347393017172697,1615.0,36817
4409,36830.0,1.0223617967331665e-05,0.0,0
4410,36831.0,5.573442965221676e-05,0.0,0
4411,36835.0,0.6747185754011867,1228.0,36517
4412,36839.0,1.0,1655.0,36839
4413,36840.0,1.0,1578.0,36521
4414,36846.0,0.00017161584416223457,0.0,0
4415,36847.0,0.4030494836342229,1658.0,36848
4416,36848.0,0.5969505163657771,1658.0,36848
4417,36858.0,0.0017509880259948978,1874.0,37193
4418,36866.0,0.14835203743196945,1883.0,36543
4419,36867.0,0.008413921161497846,1883.0,36543
4420,36881.0,0.7259033625013016,1186.0,36881
4421,36901.0,1.0,2037.0,36900
4422,36902.0,0.9453781078280394,1508.0,36579
4423,36903.0,0.648778860009062,1920.0,36903
4424,36904.0,0.351221139990938,1920.0,36903
4425,36919.0,0.8127529123106593,331.0,36920
4426,36920.0,0.16351829249756306,331.0,36920
4427,36921.0,1.0,690.0,36921
4428,36923.0,0.004710653900196091,1031.0,36924
4429,36924.0,0.9952893460998039,1031.0,36924
4430,36926.0,0.1181680746840714,862.0,36602
4431,36934.0,0.12684482778338152,785.0,36934
4432,36938.0,0.0004220011122834633,0.0,0
4433,36940.0,0.7164103429158737,677.0,36940
4434,36941.0,0.28358965708412637,677.0,36940
4435,36942.0,0.09821801489781078,2034.0,36620
4436,36943.0,1.0,1858.0,36943
4437,36945.0,0.06836849528028073,2039.0,37279
4438,36949.0,0.3230739618629336,1923.0,36625
4439,36958.0,0.466998543710607,856.0,36635
4440,37030.0,1.0,1174.0,37030
4441,37040.0,0.42881991900639543,1244.0,37368
4442,37041.0,0.032388581125417065,1244.0,37368
4443,37098.0,1.0,820.0,37098
4444,37100.0,0.16239496793197794,536.0,37101
4445,37101.0,0.6116881736931656,536.0,37101
4446,37105.0,0.7811742274719122,1071.0,37105
4447,37119.0,1.0,482.0,37119
4448,37122.0,0.1134643941721036,548.0,36787
4449,37123.0,1.0,686.0,37123
4450,37133.0,0.04568888871334347,250.0,37460
4451,37134.0,0.14879185900294947,223.0,37461
4452,37135.0,0.3284338621801951,609.0,37135
4453,37136.0,0.671566137819805,609.0,37135
4454,37159.0,0.25733312860906377,634.0,37488
4455,37162.0,0.1963199144141716,1600.0,37163
4456,37163.0,0.15846462301832231,1600.0,37163
4457,37172.0,0.2910222654487752,2295.0,37500
4458,37193.0,0.17878108805966209,1874.0,37193
4459,37194.0,0.8152493945934551,1874.0,37193
4460,37216.0,0.11855303125828592,1366.0,37542
4461,37253.0,0.022074862954002763,331.0,36920
4462,37254.0,0.0006491345877671418,0.0,0
4463,37255.0,1.0,1768.0,37255
4464,37257.0,0.054533684143768475,647.0,37257
4465,37258.0,0.9454663158562315,647.0,37257
4466,37264.0,0.559168723560503,1769.0,37265
4467,37265.0,0.44083127643949716,1769.0,37265
4468,37268.0,0.42698822045617774,785.0,36934
4469,37269.0,0.4461669517604407,785.0,36934
4470,37270.0,0.9542718578813562,496.0,37270
4471,37271.0,0.04572814211864382,496.0,37270
4472,37272.0,0.3905018946609292,1879.0,37598
4473,37273.0,0.0028508504237851106,1879.0,37598
4474,37275.0,1.0,1556.0,37275
4475,37278.0,0.09555833826130727,2268.0,37605
4476,37279.0,0.9316315047197192,2039.0,37279
4477,37294.0,1.0,1787.0,36961
4478,37295.0,0.988140872201448,1788.0,37296
4479,37296.0,0.011859127798552005,1788.0,37296
4480,37300.0,1.0,1520.0,37300
4481,37367.0,0.4717638212864065,1244.0,37368
4482,37368.0,0.0670276785817811,1244.0,37368
4483,37405.0,1.0,1660.0,37405
4484,37411.0,0.06534623965464534,556.0,37728
4485,37427.0,0.09447900472843244,536.0,37101
4486,37428.0,0.1314378536464239,536.0,37101
4487,37429.0,1.0,1286.0,37429
4488,37432.0,0.2188257725280878,1071.0,37105
4489,37443.0,0.5254424260445991,541.0,37443
4490,37444.0,0.46675496507117675,541.0,37443
4491,37446.0,0.7511601884399252,343.0,37446
4492,37447.0,0.2488398115600748,343.0,37446
4493,37460.0,0.9543111112866565,250.0,37460
4494,37461.0,0.8512081409970506,223.0,37461
4495,37473.0,0.00022167034412180647,0.0,0
4496,37486.0,0.354992366797959,634.0,37488
4497,37487.0,0.25295645116776017,634.0,37488
4498,37488.0,0.13471805342521706,634.0,37488
4499,37490.0,0.6452154625675062,1600.0,37163
4500,37499.0,0.12099823229676293,2295.0,37500
4501,37500.0,0.5879795022544618,2295.0,37500
4502,37521.0,0.004218529320887996,1874.0,37193
4503,37542.0,0.8814469687417141,1366.0,37542
4504,37574.0,1.0,1930.0,37248
4505,37577.0,0.12791911255740826,445.0,37887
4506,37580.0,1.0,2209.0,37580
4507,37581.0,1.0,1425.0,37581
4508,37583.0,1.0,2040.0,37583
4509,37584.0,1.0,1479.0,37584
4510,37591.0,0.9999999999999999,2038.0,37266
4511,37596.0,0.6249846473755487,977.0,37596
4512,37597.0,0.15808158094259442,977.0,37596
4513,37598.0,0.6066472549152858,1879.0,37598
4514,37601.0,1.0,1449.0,37601
4515,37602.0,0.3134421351858391,772.0,37603
4516,37603.0,0.6865578648141609,772.0,37603
4517,37604.0,0.04326414551285689,2268.0,37605
4518,37605.0,0.8611775162258357,2268.0,37605
4519,37607.0,0.10860939793152347,638.0,37607
4520,37608.0,0.8913906020684765,638.0,37607
4521,37623.0,1.0,1503.0,37624
4522,37667.0,1.0,1876.0,37667
4523,37669.0,0.377561239913161,61.0,37983
4524,37672.0,0.47790394111805073,965.0,37673
4525,37673.0,0.5220960588819493,965.0,37673
4526,37682.0,1.0,1232.0,37682
4527,37728.0,0.9346537603453546,556.0,37728
4528,37742.0,1.0,1198.0,37742
4529,37744.0,0.026536253086576266,1343.0,37744
4530,37745.0,0.04848431103247796,446.0,37746
4531,37746.0,0.6674758269182876,446.0,37746
4532,37747.0,0.7144401109477356,2168.0,37747
4533,37760.0,0.0029303521856455855,541.0,37443
4534,37761.0,0.00487225669857865,541.0,37443
4535,37805.0,1.0,1611.0,37804
4536,37807.0,1.0,1663.0,37807
4537,37819.0,0.8104145620207251,1061.0,38133
4538,37846.0,1.0,1761.0,37847
4539,37848.0,0.011628243614972823,151.0,38162
4540,37849.0,0.015173830643245664,151.0,38162
4541,37856.0,0.00039190046615172864,0.0,0
4542,37858.0,1.0,1440.0,37858
4543,37866.0,0.056889575726961454,1382.0,38179
4544,37882.0,1.0,2042.0,37881
4545,37884.0,1.0,1931.0,37884
4546,37887.0,0.8720808874425918,445.0,37887
4547,37889.0,1.0,1764.0,37889
4548,37892.0,0.25498182347112447,1933.0,37893
4549,37893.0,0.7450181765288755,1933.0,37893
4550,37901.0,1.0,1855.0,37901
4551,37906.0,0.21693377168185696,977.0,37596
4552,37908.0,0.6688340025176268,1441.0,38221
4553,37914.0,0.1984771096295369,2047.0,38227
4554,37916.0,1.0,451.0,37916
4555,37920.0,0.06273956837317653,422.0,38233
4556,37930.0,1.0,1549.0,37930
4557,37983.0,0.6158147045116502,61.0,37983
4558,37984.0,0.00662405557518873,61.0,37983
4559,38053.0,0.14795225591934533,522.0,38054
4560,38054.0,0.8520477440806546,522.0,38054
4561,38055.0,0.2603173513678298,405.0,38055
4562,38056.0,0.6112091502898437,405.0,38055
4563,38058.0,0.9734637469134237,1343.0,37744
