grdc/arcid,row,col,arcid
2910601,6168,25892,-99
2910603,6853,25919,21357
2910606,7243,25522,-99
2910607,7336,26040,23158
2910608,7577,26400,24081
2910660,7219,26160,22700
2911095,5526,22560,16547
2911097,6120,22414,18824
2911098,6302,23040,19237
2911099,6504,23880,20083
2911100,6840,23628,21338
2911104,7966,24840,25416
2911105,8062,25440,25856
2911109,8639,26452,-99
2911200,6960,22587,21771
2911207,7800,21937,24950
2911391,6480,23809,20082
2911452,6955,23640,21339
2911456,6762,25080,20924
2911700,5760,22517,17513
2911703,5731,21599,17036
2911731,5869,22920,17517
2911820,8207,26280,26290
2912205,7149,21239,22208
2912303,6600,21930,20480
2912400,6432,21719,19646
2912401,6239,21308,18815
2912430,6494,21719,20064
2912550,4893,20879,13367
2912551,4927,20759,13911
2912553,5173,20639,14985
2912556,4978,21479,13917
2912600,4200,21944,10485
2912602,5503,22463,-99
2912630,6295,21839,19226
2912640,4320,22467,11090
2912650,5949,20879,17944
2912657,5813,20879,17499
2912671,6603,21719,20478
2912680,6720,21479,20893
2913200,8187,21360,26249
2913550,8165,23760,26269
2914450,9337,24720,30046
2916200,9600,22088,31185
2916201,9195,20880,29615
2916203,10440,22583,33726
2916204,9360,21606,30416
2916500,9960,22566,32291
2916550,10199,22710,32646
2916850,10306,23280,33014
2916860,10200,23743,33017
2916890,10215,24240,33022
2917100,9961,20280,32272
2917110,11040,21627,35404
2917400,11120,22200,35409
2917450,10686,22320,34417
2917610,11159,22356,35410
2917700,11052,23160,35417
2917820,10965,23400,35089
2917900,10919,22709,34755
2917920,10799,22879,-99
2917950,11241,22440,35743
2919100,7741,19320,24481
2919200,7955,18273,-99
2919500,8040,19687,25808
2964080,15908,30120,47431
2964130,16559,30079,48496
2964999,16679,29773,48696
2969010,15292,30022,-99
2969087,16458,30719,48501
2969100,16188,31138,-99
2969150,16439,31028,48303
2969200,16506,31166,-99
2998110,3178,38657,-99
2998112,3941,38159,8862
2998150,3600,37604,7730
2998400,3459,41413,-99
2998401,4800,40052,13527
2998412,4679,40038,12399
2998450,3600,43019,7775
2998454,5280,42204,15692
2998461,3979,37799,9431
2998470,3840,38479,8865
2998471,3960,38527,9438
2998480,3700,38159,7734
2998500,3984,42877,-99
2998502,5160,42443,15167
2998505,5234,41519,15159
2998510,3662,44159,7784
2998511,5116,41159,14613
2998600,4693,40560,12974
2998702,3812,45400,-99
2998720,3806,44677,-99
2998735,4395,44880,11277
2998740,4050,43560,9480
2999150,2885,33372,-99
2999151,3360,33378,6634
2999200,4418,23434,-99
2999250,4200,25750,10517
2999500,4075,24764,-99
2999501,4320,24797,11109
2999510,4600,24599,12270
2999850,2880,30593,5024
2999900,3000,35535,5400
2999910,2880,35687,5067
2999920,3601,34320,7703
2999922,3734,33119,8249
5223100,18775,30515,-99
5224500,19331,30582,-99
6112090,10294,4080,32883
6113050,10714,3960,34301
6116200,11039,4165,34968
6122100,8379,6360,26561
6122300,8405,6480,26998
6123100,8789,5760,28271
6123300,8720,6360,27857
6125100,9480,6037,30693
6139100,9719,7137,31091
6139390,9239,7161,29516
6140400,7932,9360,25287
6142200,8601,10079,27457
6142620,8519,10275,27029
6211100,9997,4080,32181
6212400,10200,4680,32888
6212420,10199,4499,32538
6213700,10610,4800,33961
6213750,10559,5108,33608
6217100,11159,4562,35304
6226400,10143,5759,32548
6226600,10192,6120,32552
6226650,10199,6115,32551
6226800,10319,6132,32900
6227500,10773,5879,34316
6229500,6239,8910,18720
6233201,5633,10235,16453
6233221,5470,10113,15946
6233301,6126,9959,18728
6233401,5152,10177,14359
6233410,5923,10319,17861
6233502,4857,10874,13286
6233551,5193,10079,14902
6233650,4999,10199,13825
6233690,4627,11039,12164
6233710,4356,11159,11004
6233750,4319,11077,10395
6233850,4350,11533,11008
6233901,4079,11698,9223
6233910,4365,11800,11010
6242100,8540,9359,27451
6242500,8599,9959,27456
6335070,8060,7800,25709
6335150,8162,7920,26137
6335200,8400,7988,27010
6335304,8147,8040,25711
6335600,8292,8160,26576
6336500,8229,7559,26133
6337250,7495,8280,23468
6337517,7579,8159,23928
6340110,7395,8640,23013
6340160,7560,8875,23934
6340170,7705,8880,24394
6342500,8462,8639,27015
6342800,8449,9119,27019
6342925,8411,8999,27018
6343100,8583,8999,27448
