,stationid,row,col,arcid,origin
136,FR_0000175,563,261,29114,mmprocessedstation
137,6139837,563,551,29116,mmprocessedstation
138,6139960,563,664,29117,mmprocessedstation
139,FR_0000748,566,91,29112,mmprocessedstation
140,FR_0000115,566,616,29117,mmprocessedstation
141,FR_0000060,566,714,29117,mmprocessedstation
142,6939500,569,862,29119,mmprocessedstation
143,FR_0000025,571,406,29115,mmprocessedstation
144,FR_0000063,573,453,29115,mmprocessedstation
145,6139840,573,733,29118,mmprocessedstation
146,FR_0000118,583,708,29117,mmprocessedstation
147,FR_0000037,585,280,29114,mmprocessedstation
148,6948150,595,1310,29122,mmprocessedstation
149,FR_0000039,598,365,29115,mmprocessedstation
150,FR_0000120,610,439,29517,mmprocessedstation
151,FR_0000117,614,701,29519,mmprocessedstation
152,6139850,623,580,29518,mmprocessedstation
153,6139360,627,268,29516,mmprocessedstation
154,6139810,629,525,29518,mmprocessedstation
155,6139391,633,455,29517,mmprocessedstation
156,6139361,634,284,29516,mmprocessedstation
157,FR_0000108,638,638,29519,mmprocessedstation
158,6348310,640,1141,29523,mmprocessedstation
159,FR_0000050,642,513,29518,mmprocessedstation
160,FR_0000107,642,607,29519,mmprocessedstation
161,6139365,645,263,29516,mmprocessedstation
162,FR_0000109,650,655,29519,mmprocessedstation
163,FR_0000110,655,647,29519,mmprocessedstation
164,FR_0000706,661,16,29514,mmprocessedstation
165,FR_0000130,663,292,29516,mmprocessedstation
166,6139825,666,624,29519,mmprocessedstation
167,6139310,668,397,29517,mmprocessedstation
168,FR_0000743,671,23,29514,mmprocessedstation
169,FR_0000585,672,87,29514,mmprocessedstation
170,FR_0000129,674,297,29516,mmprocessedstation
171,FR_0000751,689,245,29516,mmprocessedstation
172,FR_0000584,690,120,29515,mmprocessedstation
173,6123740,693,210,29515,mmprocessedstation
174,6348300,708,1038,29522,mmprocessedstation
175,FR_0000752,722,151,29911,mmprocessedstation
176,FR_0000103,731,513,29914,mmprocessedstation
177,6139600,732,837,29916,mmprocessedstation
178,FR_0000035,746,536,29914,mmprocessedstation
179,6123750,764,180,29911,mmprocessedstation
180,6123760,765,105,29910,mmprocessedstation
181,6139370,766,309,29912,mmprocessedstation
182,6123770,788,171,29911,mmprocessedstation
183,FR_0000075,796,508,29914,mmprocessedstation
184,6123780,826,192,29911,mmprocessedstation
185,6139725,830,643,29915,mmprocessedstation
186,FR_0000074,838,467,29913,mmprocessedstation
187,6139440,843,716,30313,mmprocessedstation
188,6139735,852,568,30312,mmprocessedstation
189,6348200,852,1244,30318,mmprocessedstation
190,6139283,859,761,30314,mmprocessedstation
191,FR_0000093,861,371,30311,mmprocessedstation
192,FR_0000126,880,243,30310,mmprocessedstation
193,6139740,882,635,30313,mmprocessedstation
194,FR_0000594,895,157,30309,mmprocessedstation
195,FR_0000739,906,83,30308,mmprocessedstation
196,FR_0000088,907,486,30312,mmprocessedstation
197,FR_0000142,912,571,30312,mmprocessedstation
198,6139130,913,477,30311,mmprocessedstation
199,FR_0000143,913,585,30312,mmprocessedstation
200,FR_0000713,928,94,30308,mmprocessedstation
201,FR_0000221,941,109,30308,mmprocessedstation
202,6139281,947,716,30313,mmprocessedstation
